term,overlap_term
宫,"['宫颈部', '子宫后壁', '两侧宫旁', '子宫上段', '子宫动脉', '右左宫旁', '直肠子宫陷凹', '子宫内膜', '子宫颈', '宫颈口', '宫体', '宫颈3、6、9、11点', '子宫底、前壁', '宫颈及颈管', '右、左宫', '子宫浆膜', '子宫体', '右、左宫宫旁组织', '子宫宫颈', '宫颈内口', '子宫', '宫腔', '右宫', '宫颈管', '子宫底', '子宫直肠窝', '全子宫', '子宫内膜及肌层', '宫底', '宫旁', '宫内膜', '子宫颈颈管内口', '宫体上段肌层', '宫颈下唇', '宫颈前唇', '子宫直肠陷凹', '宫颈后唇', '宫骶韧带', '左宫', '子宫颈外口', '子宫右前侧壁上段', '左宫旁淋巴结', '宫颈', '宫壁肌层', '双侧宫旁']"
肝动脉,['肝动脉旁淋巴结']
右侧髂内闭孔,['右侧髂内闭孔区']
臀,"['臀部', '左侧臀部', '左侧臀肌']"
小弯淋巴结,"['胃小弯淋巴结', '胃大小弯淋巴结', '胃大、小弯淋巴结']"
肾盂,"['两肾盂', '两侧肾盂', '左侧肾盂', '左肾盂', '右肾盂']"
胃腔,['近端胃腔']
左卵巢,['右、左卵巢']
肝胃间隙,['纵膈及所摄入右锁骨窝区、肝胃间隙多发肿大淋巴结']
肠壁,"['肠壁二站(2个)、中间组(4个)淋巴结', '肠壁二站(3个)淋巴结', '肠壁三站(2个)淋巴结', '肠壁一站(10个)淋巴结', '肠壁一站(19个)、二站(13个)、三站(69个);“结肠中动脉”(1个)淋巴结', '肠壁外膜层', '肠壁一站(4/10个)淋巴结', '肠壁一站(2/6个)、二站(1/1个)、“肠系膜根部”(1/1个)、“肠系膜中动脉根部”(2/2个)淋巴结', '肠壁一站(10个)、中间组(8个)淋巴结', '肠壁一站(8个)、二站(4个)、三站(3个)、中间组(5个)淋巴结', '乙状结肠壁', '横结肠近脾区肠壁', '肠壁淋巴结', '直肠壁', '肠壁脂肪中淋巴结', '肠壁及淋巴结', '肠壁全层', '肠壁二站(2个)淋巴结', '肠壁一站(1/22个)淋巴结', '肠壁一站(3个)淋巴结', '肠壁一站(8/14个)淋巴结', '肠壁一站(6个)、中间组(3个)、中央组(3个)淋巴结', '肠壁一站(7个)、中间组(6个)淋巴结', '(空肠)肠壁', '肠壁一站(1/5个)淋巴结', '肠壁一站(13个)、二站(10个)淋巴结', '肠壁二站(4个)、中央组(2个)淋巴结', '肠壁一站(1/17个)淋巴结', '肠壁下淋巴结', '十二指肠壁', '肠壁浆膜上层', '肠壁一站(7/8个)、二站(1/3个)、中间组(1/2个)淋巴结']"
右、左宫,['右、左宫宫旁组织']
胃体部,['胃体部大弯、小弯壁']
右足,"['右足底', '右足第1、2趾远端']"
后背,"['右后背', '后背部']"
左上肢,['左上肢肌间静脉']
手,"['左手', '手臂', '手脚', '两手掌', '两手', '手足']"
淋巴结,"['(喉返旁)淋巴结', '肠壁二站(2个)、中间组(4个)淋巴结', '“第十二组”(5个)、“肝十二指肠韧带”(1个)淋巴结', '右侧髂内外血管旁淋巴结', '左髂血骨淋巴结', '一组(7个)、三组(2个)、四组(4个)、五组(1个)及六组(2个)淋巴结', '(第11p组)淋巴结', '(左结肠系膜根根部)淋巴结', '髂血管旁旁淋巴结', '左闭孔淋巴结', '(第8a组)淋巴结', '左侧盆腔淋巴结', '7、8、9组淋巴结', '脾动脉旁淋巴结', '右锁骨下区、纵隔、左肺门淋巴结', '淋巴结见癌转移[共44枚,21,枚转移:第1组0/5、第2组0/0、第3组8/13、第4sa组0/2、第4sb组0/0、第4d组5/7、第5组1/1、第6组5/5、(第7、9组)0/6、第8组1/1、第11p组0/1、12a组0/2、叒14v1/1]', '肠系膜根部淋巴结', '(第十五组)淋巴结', '胃窦部与胰腺之间淋巴结', '胰腺周淋巴结', '气管隆突前淋巴结', '胃周围(2个)淋巴结', '左颈淋巴结', '(左喉返喉返神经神经旁)淋巴结', '肠壁二站(3个)淋巴结', '(右侧腹股沟)淋巴结', '中间组(1个)淋巴结', '盆腔淋巴结', '(胃大弯)淋巴结', '一组(7个)、四组(13个)、五组(1个)、六组(4个)淋巴结', '一站(13个)、中间组(3个)、中央组(5个)淋巴结', '一站淋巴结', '(第七组)淋巴结', '左侧颈部淋巴结', '(直肠下动脉根部)淋巴结', '系膜区域淋巴结', '右、左盆腔淋巴结', '肠壁三站(2个)淋巴结', 'vi区最大淋巴结', '肠壁一站(10个)淋巴结', '(肝门部)淋巴结', '(空肠系膜)淋巴结', '(第4d组)淋巴结', '肠壁一站(19个)、二站(13个)、三站(69个);“结肠中动脉”(1个)淋巴结', '第14v组淋巴结', '(第7组)淋巴结', '肠旁淋巴结', '左髂总淋巴结', '腹部淋巴结', '左侧锁骨下窝淋巴结', '(胃右动脉旁)淋巴结', '中央组(7个)淋巴结', '脾门淋巴结', '左盆腔淋巴结', '(右锁骨下)淋巴结', '(上肺韧带旁)淋巴结', '(贲门旁)淋巴结', '(第1组)淋巴结', '第7组淋巴结', '四组(2/5个)、五组(1/3个)淋巴结癌', '(隆突上)淋巴结', '肝动脉旁淋巴结', '“五组”(1/1个)、“第六组”(2/2个)淋巴结', '右腋窝淋巴结', '(第9组)淋巴结', '五组(1/1个)淋巴结', '“中间组”(2/10个)淋巴结', '三组(5个)、四组(4个)、七组(1个)、“1、3、7组”(12个)淋巴结', '(肠系膜动脉根部)淋巴结', '左颈根至锁骨下淋巴结', '纵隔淋巴结', '胃周淋巴结', '直肠周小淋巴结', '(第12a组)淋巴结', '右髂血管淋巴结', '(结肠中动脉根部)淋巴结', '“胃第六组”(1个)淋巴结', '(脾动脉旁)淋巴结', '(第十二组)淋巴结', '(第11d组)淋巴结', '(右腋窝前哨)淋巴结', '食管旁多发淋巴结', '直肠下动脉旁染色淋巴结2', '四组(7个)、六组(7个)、“一三七组”(10个)淋巴结', '(肠系膜上动脉)淋巴结', '腹腔淋巴结', '右盆腔淋巴结', '右髂总及左髂总淋巴结', '(第12p组)淋巴结', '腹股沟淋巴结', '小弯侧淋巴结', '网膜内淋巴结', '系膜根部淋巴结', '隆突上见淋巴结', '肠壁一站(4/10个)淋巴结', '胃第八组淋巴结', '回肠周淋巴结', '(回结肠动脉根部)淋巴结', '中间淋巴结', '四组(3/9个)、六组(1/6个)淋巴结', '(第8组)淋巴结', '胃小弯淋巴结', '肠壁一站(2/6个)、二站(1/1个)、“肠系膜根部”(1/1个)、“肠系膜中动脉根部”(2/2个)淋巴结', '肠壁一站(10个)、中间组(8个)淋巴结', '四组(5个)、六组(9个)、“1、3、7组”(8个)淋巴结', '7、8、9组&gt;淋巴结', '右颈转移淋巴结', '胃小弯、大弯淋巴结', '“一站”(1/12个)淋巴结', '(肠系膜上a根部)淋巴结', '直肠下动脉旁染色淋巴结1', '右锁下下淋巴结', '(第八组)淋巴结', '胰腺周围淋巴结', '肠壁一站(8个)、二站(4个)、三站(3个)、中间组(5个)淋巴结', '(降主动脉旁)淋巴结', '贲门周淋巴结', '(第15组)淋巴结', '左髂血管淋巴结', '(幽门下)淋巴结', '直肠下动脉旁淋巴结', '隆突上淋巴结', '小弯淋巴结', '肠壁淋巴结', '(右喉返喉返神经旁)淋巴结', '三组(5/13个)淋巴结', '一站(6/10个)淋巴结癌', '直肠旁淋巴结', '右腋上淋巴结', '左闭孔深淋巴结', '胆囊旁淋巴结', '右结肠根部淋巴结', '左喉返神经旁旁淋巴结', '左颈部淋巴结', '胃右动脉旁、隆突上淋巴结', '右锁骨下、两侧腹股沟淋巴结', '(腹主动脉旁)淋巴结', '结肠中血管右支根部淋巴结', '右侧气管食管沟及隆突上淋巴结', '贲门右小淋巴结', '“胃第六组”(1/1)淋巴结', '腹主+髂总淋巴结', '腹膜后多发淋巴结', '胃右动脉根部淋巴结', '(肝总动脉旁)淋巴结', '(右上肺门)淋巴结', '第12组淋巴结', '右髂总淋巴结', '第1组淋巴结', '(第8p组)淋巴结', '右颈肿大淋巴结', '肠壁脂肪中淋巴结', '左肺门淋巴结', '(下段食管旁)淋巴结', '(左髂总)淋巴结', '贲门左(3/3)、叒胃小弯(8/9)、幽门上(2/2)淋巴结', '小肠系膜根肠系膜根部淋巴结', '(第4sb组)淋巴结', '肠系膜血管旁淋巴结', '肠周淋巴结', '食管旁淋巴结', '肠系膜淋巴结', '纵隔、腋上淋巴结', '(腹腔动脉旁)淋巴结', '(肠系膜根部)淋巴结', '(第6组)淋巴结', '纵隔及左肺门淋巴结', '两侧腹股沟淋巴结', '第7、8组淋巴结', '右髂髂血管淋巴结', '(肠系膜上动脉根部)淋巴结', '肠壁及淋巴结', '(左盆腔)淋巴结', '(胃右a根部)淋巴结', '第5组淋巴结', '淋巴结可见癌转移(肠周1/13,直肠下动脉旁0/1)', '小弯侧大弯侧淋巴结', '左侧髂血管旁及左侧腹股沟淋巴结', '三组(2个)、四组(3个)、另送“1、3、7组”(6个)淋巴结', '纵隔及两锁骨下淋巴结', '第4组淋巴结', '腹主动脉淋巴结', '肠壁二站(2个)淋巴结', '网膜淋巴结', '大弯及网膜淋巴结', '肠壁一站(1/22个)淋巴结', '肠壁一站(3个)淋巴结', '5、8、12组淋巴结', '肠壁一站(8/14个)淋巴结', '胃右动脉旁淋巴结', '髂血管旁淋巴结', '左结肠动脉旁淋巴结', '(右盆腔)淋巴结', '大弯侧淋巴结', '(第3组)淋巴结', '左锁骨下淋巴结', '髂前淋巴结', '贲门左淋巴结', '腹主动脉旁淋巴结', '全身浅表淋巴结', '(第14v组)淋巴结', '结肠周围淋巴结', '左髂外淋巴结', '第6组淋巴结', '肠壁一站(6个)、中间组(3个)、中央组(3个)淋巴结', '中央组淋巴结', '骶前淋巴结', '第12a组淋巴结', '贲门周围淋巴结', '肝门淋巴结', '腹膜后小淋巴结', '(脾门)淋巴结', '幽门下淋巴结', '肠壁一站(7个)、中间组(6个)淋巴结', '贲门右淋巴结', '肠系膜上动脉根部淋巴结', '左半结肠系膜区淋巴结', '腹膜后淋巴结', '四组(9个)、六组(4个)及另送“1、3、7组”(11个)淋巴结', '六组(4个)、“1、3、7组”(10个)淋巴结', '三组(2个)、五组(1个)、“1、3、7组”(13个)淋巴结', '贲门淋巴结', '(中间组)淋巴结', '第8组淋巴结', '(胸部入口处)淋巴结', '(左喉返旁神经)淋巴结', '(上段食管旁)淋巴结', '食管周淋巴结', '右肺门淋巴结', '(第九组)淋巴结', '右颈ii区淋巴结', '腹主动脉右旁淋巴结', '(第十一组)淋巴结', '(第一组)淋巴结', '肠管周围淋巴结', '胃大小弯淋巴结', '右锁骨下淋巴结', '两侧髂血管旁淋巴结', '幽门上淋巴结', '(胃壁)淋巴结', '浅表淋巴结', '颈部淋巴结', '纵膈及所摄入右锁骨窝区、肝胃间隙多发肿大淋巴结', '(第11组)淋巴结', '贲门周围(10个)淋巴结', '区域淋巴结', '(肝十二指肠韧带)淋巴结', '(右腋窝前哨及导丝定位)淋巴结', '右侧闭孔淋巴结', '(回肠动脉根部)淋巴结', '三组(3/3个)、四组(11/17个)、六组(9/11个)、“胃1、3、7组”(2/5个)淋巴结', '(颈段食管旁)淋巴结', '一站(1/22)个淋巴结', '两侧盆腔淋巴结', '结肠周淋巴结', '阑尾根部淋巴结', '门腔间隙淋巴结', '胆管旁淋巴结', '(贲门右)淋巴结', '(第10组)淋巴结', '(第11组淋巴结)、(第12组淋巴结)', '“三组”淋巴结', '右锁骨下及左中颈淋巴结', '肠壁一站(1/5个)淋巴结', '“上段食管旁”(3个)、“贲门周围”(4个)、“胃右动脉旁”(8个)淋巴结', '右侧腋窝、两侧锁骨下窝、胸骨下窝小淋巴结', '中间组淋巴结', '两侧气管食管沟小淋巴结', '右颈iv、v叒区淋巴结', '(回结结肠系膜肠系膜根部)淋巴结', '一站(5个)、中央组(11个)、中间组(1个)淋巴结', '左前纵隔淋巴结', '肠系膜及腹膜后淋巴结', '中央淋巴结', '右侧颈部vi区及iv区小淋巴结', '胃大、小弯淋巴结', '(胃右动脉根部)淋巴结', '(中段食管旁)淋巴结', '第三组(4个)、第四组(4个)、“胃第七组”(1个)淋巴结', '(肠系膜上血管旁)淋巴结', '(门静脉旁)淋巴结', '(上段食管旁)个淋巴结', '肠壁一站(13个)、二站(10个)淋巴结', '右闭孔淋巴结', '肠壁二站(4个)、中央组(2个)淋巴结', '肠周查见淋巴结', '(系膜)淋巴结', '胃小弯侧淋巴结', '“四组”(5个)淋巴结', '一站(4个)淋巴结', '气管右侧旁淋巴结', '(颈部右喉返喉返神经旁)淋巴结', '一站(3/8个)、中间组(1/8个)淋巴结', '左髂内淋巴结', '六组(2/9个)淋巴结', '肿物周淋巴结', '肝总动脉旁(0/1)、叒胃大弯(0/1)淋巴结', '左宫旁淋巴结', '(第9组淋巴结)', '左喉返神经旁淋巴结', '(颈部食管旁)淋巴结', '肠壁一站(1/17个)淋巴结', '右左髂总、右左髂外、左闭孔淋巴结', '(第8p)淋巴结', '(左喉返喉返神经旁)淋巴结', '一站(11/11个)、二站(3/3个)淋巴结', '(第12组)淋巴结', '食管下段周围多发肿大淋巴结', '贲门旁淋巴结', '淋巴结未见癌转移(肠周0/13,结肠中血管旁0/2)', '一站(12个)、二站(4个)、中间组(5个)及中央组(1个)淋巴结', '(右髂总)淋巴结', '下腹部贲门周围一淋巴结', '第3组淋巴结', '上腔静脉旁淋巴结', '大弯淋巴结', '肠壁下淋巴结', '贲门上淋巴结', '肺门淋巴结', '左腹股沟淋巴结', '肠壁一站(7/8个)、二站(1/3个)、中间组(1/2个)淋巴结']"
颅,['颅脑']
回肠,"['回肠周淋巴结', '末端回肠', '(回肠动脉根部)淋巴结', '回肠末端', '空回肠']"
主动脉,"['主动脉瓣', '胸主动脉', '主动脉窦部', '腹主动脉旁', '(降主动脉旁)淋巴结', '(腹主动脉旁)淋巴结', '主动脉壁', '主动脉弓', '腹主动脉右前方', '腹主动脉', '腹主动脉淋巴结', '主动脉窗', '腹主动脉旁淋巴结', '腹主动脉右旁淋巴结']"
食管,"['下段食管', '胸中段食管', '贲门齿状线下部分食管', '食管中段', '末段食管', '食管腔', '食管中下段', '胸上段食管', '食管旁多发淋巴结', '食管远端', '食管下段', '胃食管', '胸下段食管', '食管粘膜', '右侧气管食管沟及隆突上淋巴结', '左侧气管食管沟', '右侧气管食管沟', '食管上端', '(下段食管旁)淋巴结', '食管旁淋巴结', '胸段食管', '胸上段上段食管', '(上段食管旁)淋巴结', '食管周淋巴结', '食管胸中段', '胃食管结合部', '食管上段', '(颈段食管旁)淋巴结', '食管裂孔', '上段食管', '“上段食管旁”(3个)、“贲门周围”(4个)、“胃右动脉旁”(8个)淋巴结', '两侧气管食管沟小淋巴结', '(中段食管旁)淋巴结', '(上段食管旁)个淋巴结', '食管胃交界', '食管-贲门交界处', '颈根部及下中纵隔食管', '颈段食管', '(颈部食管旁)淋巴结', '食管下段周围多发肿大淋巴结']"
脾门,"['脾门淋巴结', '(脾门)淋巴结']"
胰周,['胰周脂肪']
足底,['右足底']
肝门,"['(肝门部)淋巴结', '腹腔肝门区', '肝门区', '肝门静脉', '第一肝门右外叶', '肝门淋巴结']"
腰椎,['胸腰椎']
胰体尾,['胰体尾部']
胆,"['胆石利通片', '肝内胆管', '肝胆', '胆囊管', '肝左叶肝内胆管', '汇管区小胆管', '肝左左叶肝内胆管', '胆囊床底部', '胆囊旁淋巴结', '胆囊', '胆囊体部', '胆、胰导管', '胆囊三角', '胆管旁淋巴结', '胆总管上段', '胆管壁', '胆管', '肝内外胆管', '胆道', '胆总管', '胆囊壁']"
胃体,"['胃体窦', '胃体下段至胃底贲门部', '胃体小弯侧', '胃体大弯', '胃体部', '胃体大弯侧', '胃体前壁偏小弯侧', '胃体部大弯、小弯壁', '胃体小弯侧前壁', '贲门胃体下段小弯侧', '胃窦、胃体交界', '胃体上部大弯侧']"
两侧附件,['两侧附件区']
右侧气管食管沟,['右侧气管食管沟及隆突上淋巴结']
胃窦,"['胃窦部与胰腺之间淋巴结', '胃窦腔', '胃窦部小弯侧', '胃窦大弯侧', '胃窦幽门部', '胃窦中段大弯', '胃窦壁', '胃窦部', '胃窦小弯侧', '胃窦部大弯侧', '胃窦后壁', '胃窦幽门管', '胃窦小弯', '胃窦、胃体交界', '十二指肠-胃窦部']"
盆腔,"['两侧盆腔', '左侧盆腔淋巴结', '盆腔淋巴结', '右、左盆腔淋巴结', '右盆腔髂血管', '左盆腔淋巴结', '右盆腔淋巴结', '腹盆腔', '小骨盆腔', '(左盆腔)淋巴结', '(右盆腔)淋巴结', '盆腔内', '左侧盆腔', '两侧盆腔淋巴结']"
左侧锁骨,"['左侧锁骨下窝淋巴结', '左侧锁骨下窝']"
腹股沟区,"['左侧腹股沟区', '右腹股沟区', '左腹股沟区']"
第12组淋巴结,['(第11组淋巴结)、(第12组淋巴结)']
左上腹,['左上腹部']
骨,"['骨骼', '左髂血骨淋巴结', '两侧髂骨', '右锁骨下区、纵隔、左肺门淋巴结', '锁骨下窝', '右股骨肌腱附着处', '胸骨', '左侧锁骨下窝淋巴结', '(右锁骨下)淋巴结', '左颈根至锁骨下淋巴结', '右胸肋骨', '胸骨后', '右侧髋骨', '尾骨', '骨髓', '骶椎骨', '右锁骨下', '锁骨下区', '周身骨骼', '胸骨柄', '右侧胫骨平台', '右锁骨下、两侧腹股沟淋巴结', '左侧锁骨', '股骨下段', '左侧肩胛骨', '右侧锁骨上动脉起始段', '小骨盆腔', '右股骨', '锁骨', '右锁骨下窝', '纵隔及两锁骨下淋巴结', '骨关节', '左锁骨下淋巴结', '右侧锁骨', '右左骨盆漏斗', '胸腰骶椎骨', '右颈部至锁骨下', '右锁骨下淋巴结', '纵膈及所摄入右锁骨窝区、肝胃间隙多发肿大淋巴结', '左锁骨', '左侧锁骨下窝', '右锁骨下及左中颈淋巴结', '右颈至锁骨下', '右侧腋窝、两侧锁骨下窝、胸骨下窝小淋巴结', '胸骨上段', '右股骨颈', '中轴骨', '两侧锁骨', '右锁骨下ln', '右侧股骨远端内侧髁', '右侧胫骨骨干', '骨盆']"
右腹,"['右腹股沟', '右腹股沟区']"
眼睑,['两眼睑']
中上腹,"['右中上腹小肠', '右侧中上腹', '左中上腹', '中上腹部', '右中上腹']"
右髂血管,['右髂血管淋巴结']
肝总动脉,"['(肝总动脉旁)淋巴结', '肝总动脉旁(0/1)、叒胃大弯(0/1)淋巴结']"
s5,"['肝s5、8', '肝s5-8', '肝s4、s5/8', '肝s5.8叒交界区', '肝s5.8交界区', '肝s5、s6、s7、s8', '肝s5', 's5段']"
纵膈,['纵膈及所摄入右锁骨窝区、肝胃间隙多发肿大淋巴结']
口咽,"['口咽部', '口咽部双侧腺体']"
左肺门淋巴结,"['右锁骨下区、纵隔、左肺门淋巴结', '纵隔及左肺门淋巴结']"
左足,['左足第三趾']
左颈部,['左颈部淋巴结']
腹主动脉,"['腹主动脉旁', '(腹主动脉旁)淋巴结', '腹主动脉右前方', '腹主动脉淋巴结', '腹主动脉旁淋巴结', '腹主动脉右旁淋巴结']"
右颈根,['右颈根部']
左髂外,"['左髂外淋巴结', '右左髂总、右左髂外、左闭孔淋巴结']"
肠周淋巴结,"['回肠周淋巴结', '结肠周淋巴结']"
鼻,['鼻咽']
右肺下叶,"['右肺下叶尖后段', '右肺下叶舌段', '右肺下叶、上叶']"
胃窦部,"['胃窦部与胰腺之间淋巴结', '胃窦部小弯侧', '胃窦部大弯侧', '十二指肠-胃窦部']"
右上肢,"['右上肢静脉', '右上肢浅表血管', '右上肢深静脉瓣膜']"
右侧颈,"['右侧颈部', '右侧颈内动脉', '右侧颈动脉', '右侧颈部vi区及iv区小淋巴结']"
右腹股沟,['右腹股沟区']
网膜,"['网膜内淋巴结', '大网膜', '右侧顶部蛛网膜上腔', '网膜淋巴结', '大弯及网膜淋巴结']"
胆囊,"['胆囊管', '胆囊床底部', '胆囊旁淋巴结', '胆囊体部', '胆囊三角', '胆囊壁']"
门脉,['门脉右支']
肝右内叶,"['肝右内叶(iv段)', '肝右内叶至肝左叶交界处']"
骶前,"['骶前间隙', '骶前淋巴结']"
两侧腹股沟淋巴结,['右锁骨下、两侧腹股沟淋巴结']
胰头,"['胰头部', '胰头上方', '胰头钩突部', '胰头区']"
右股骨,"['右股骨肌腱附着处', '右股骨颈']"
盲肠,"['盲肠后方', '盲肠部']"
颈部,"['宫颈部', '左侧颈部淋巴结', '右侧颈部', '右颈部', '左侧上颈部', '颈部iv区', '左颈部淋巴结', '左颈部', '右颈部v区', '两颈部', '右颈部至锁骨下', '颈部淋巴结', '左侧颈部', '右侧颈部vi区及iv区小淋巴结', '(颈部右喉返喉返神经旁)淋巴结', '(颈部食管旁)淋巴结']"
左侧附件,"['左侧附件区软组织', '左侧附件区']"
锁骨,"['右锁骨下区、纵隔、左肺门淋巴结', '锁骨下窝', '左侧锁骨下窝淋巴结', '(右锁骨下)淋巴结', '左颈根至锁骨下淋巴结', '右锁骨下', '锁骨下区', '右锁骨下、两侧腹股沟淋巴结', '左侧锁骨', '右侧锁骨上动脉起始段', '右锁骨下窝', '纵隔及两锁骨下淋巴结', '左锁骨下淋巴结', '右侧锁骨', '右颈部至锁骨下', '右锁骨下淋巴结', '纵膈及所摄入右锁骨窝区、肝胃间隙多发肿大淋巴结', '左锁骨', '左侧锁骨下窝', '右锁骨下及左中颈淋巴结', '右颈至锁骨下', '右侧腋窝、两侧锁骨下窝、胸骨下窝小淋巴结', '两侧锁骨', '右锁骨下ln']"
腰,"['左腰背部', '腰腹', '腰5椎体', '腰部', '腰椎', '腰1椎体左前下缘', '胸腰骶椎骨', '腰背', '腰骶部', '右侧腰部', '腰背部', '胸腰椎']"
子宫,"['子宫后壁', '子宫上段', '子宫动脉', '直肠子宫陷凹', '子宫内膜', '子宫颈', '子宫底、前壁', '子宫浆膜', '子宫体', '子宫宫颈', '子宫底', '子宫直肠窝', '全子宫', '子宫内膜及肌层', '子宫颈颈管内口', '子宫直肠陷凹', '子宫颈外口', '子宫右前侧壁上段']"
盆壁,"['腹盆壁', '右侧盆壁', '右髂部盆壁']"
上腔静脉,['上腔静脉旁淋巴结']
背部,"['胸背部', '左腰背部', '左侧背部', '后背部', '左肩背部', '腰背部', '肩背部']"
胃壁,"['胃壁浆膜上层', '胃壁全层', '胃壁深肌层', '(胃壁)淋巴结', '胃壁浆膜层', '胃小弯侧胃壁']"
左肺上叶,"['左肺上叶后基底段', '左肺上叶肺大泡', '左肺上叶外基底段', '左肺上叶背段']"
肝s6,"['肝s6、7', '肝s6、s7', '肝s6/7']"
左腹股沟,"['左腹股沟区', '左腹股沟淋巴结']"
两侧输卵管,"['两侧输卵管、卵巢均', '两侧输卵管壁外膜']"
网膜淋巴结,['大弯及网膜淋巴结']
静脉,"['上降静脉壁', '腔静脉旁', '门静脉左干', '脾静脉', '肠系膜下动静脉', '门腔静脉间', '门静脉主干', '奇静脉弓', '右髂外静脉', '肝门静脉', '右上肢静脉', '肝左静脉', '胃引流静脉', '上腔静脉', '门静脉壁', '结肠中动、静脉', '肠系膜下动、静脉血管', '右髂总静脉', '上肢静脉', '左上肢肌间静脉', '门静脉左支', '左侧肾静脉', '门静脉', '门静脉与脾静脉交汇处', '(门静脉旁)淋巴结', '腔静脉', '右髂静脉', '右上肢深静脉瓣膜', '上腔静脉旁淋巴结']"
肝左叶,"['肝左叶近膈面', '肝左叶第viii段', '肝左叶肝内胆管', '肝左叶上段', '肝右内叶至肝左叶交界处', '肝左叶前段']"
大弯,"['(胃大弯)淋巴结', '贲门大弯侧后壁', '胃小弯、大弯淋巴结', '胃体大弯', '胃窦大弯侧', '胃体大弯侧', '胃窦中段大弯', '胃体部大弯、小弯壁', '小弯侧大弯侧淋巴结', '胃大弯后壁', '大弯及网膜淋巴结', '大弯侧淋巴结', '胃窦部大弯侧', '幽门管大弯', '胃大弯脂肪', '大弯侧', '肝总动脉旁(0/1)、叒胃大弯(0/1)淋巴结', '大弯淋巴结', '胃体上部大弯侧']"
髂血管旁淋巴结,['两侧髂血管旁淋巴结']
小腿,"['小腿前部', '右小腿前部', '两小腿', '左小腿']"
大弯侧淋巴结,['小弯侧大弯侧淋巴结']
纵隔内,['纵隔内龙突上']
面部,['颜面部']
胃大、小弯淋巴,['胃大、小弯淋巴结']
胰体,"['胰体尾部', '胰体尾']"
肝s5,"['肝s5、8', '肝s5-8', '肝s5.8叒交界区', '肝s5.8交界区', '肝s5、s6、s7、s8']"
甲状腺,"['甲状腺两叶', '甲状腺右叶', '左侧甲状腺', '甲状腺左叶']"
胸腔,"['右侧胸腔', '两侧胸腔']"
骶部,['腰骶部']
肠系膜根部,"['肠系膜根部淋巴结', '肠壁一站(2/6个)、二站(1/1个)、“肠系膜根部”(1/1个)、“肠系膜中动脉根部”(2/2个)淋巴结', '小肠系膜根肠系膜根部淋巴结', '(肠系膜根部)淋巴结', '(回结结肠系膜肠系膜根部)淋巴结', '直肠系膜根部']"
左肾,"['左肾周', '左肾下极', '左肾盂']"
右侧锁骨,['右侧锁骨上动脉起始段']
胃小弯,"['胃小弯淋巴结', '胃小弯、大弯淋巴结', '贲门左(3/3)、叒胃小弯(8/9)、幽门上(2/2)淋巴结', '胃小弯侧胃角', '胃小弯侧', '胃小弯侧淋巴结', '胃小弯侧胃壁']"
髂内,"['右侧髂内外血管旁淋巴结', '髂内外动脉管壁', '右侧髂内闭孔区', '右侧髂内闭孔', '左侧髂内闭孔', '左髂内淋巴结', '右髂内']"
脾,"['脾动脉旁淋巴结', '结肠脾曲', '脾静脉', '脾门淋巴结', '脾动脉', '(脾动脉旁)淋巴结', '横结肠近脾区肠壁', '脾门', '(脾门)淋巴结', '脾血管', '降结肠近脾曲', '脾脏', '门静脉与脾静脉交汇处']"
右侧肾下腺,['右侧肾下腺内侧肢']
子宫底,['子宫底、前壁']
肝s2,"['肝s2、s8', '肝s2.4.6.8', '肝s2、4、8', '肝s2、3、5、8', '肝s2、6叒段', '肝s2,s4,s8']"
腹膜后淋巴结,['肠系膜及腹膜后淋巴结']
系膜,"['肠系膜上根部血管', '(左结肠系膜根根部)淋巴结', '肠系膜根部淋巴结', '系膜区域淋巴结', '(空肠系膜)淋巴结', '肠系膜下动静脉', '肠系膜上动脉', '(肠系膜动脉根部)淋巴结', '(肠系膜上动脉)淋巴结', '肠系膜上动脉根部', '系膜根部淋巴结', '肠壁一站(2/6个)、二站(1/1个)、“肠系膜根部”(1/1个)、“肠系膜中动脉根部”(2/2个)淋巴结', '升结肠系膜', '(肠系膜上a根部)淋巴结', '乙状结肠系膜间及根部', '小肠系膜根肠系膜根部淋巴结', '肠系膜血管旁淋巴结', '肠系膜淋巴结', '(肠系膜根部)淋巴结', '(肠系膜上动脉根部)淋巴结', '肠系膜下动、静脉血管', '肠系膜根部', '肠系膜上动脉根部淋巴结', '左半结肠系膜区淋巴结', '肠系膜', '左中腹部肠系膜间', '肠管系膜', '肠系膜下动脉', '小肠系膜', '(回结结肠系膜肠系膜根部)淋巴结', '肠系膜及腹膜后淋巴结', '(肠系膜上血管旁)淋巴结', '(系膜)淋巴结', '肠系膜上血管根部', '直肠系膜根部']"
胰腺体部,['胰腺体部及尾部']
右结肠,['右结肠根部淋巴结']
膀胱,"['膀胱后方', '膀胱壁', '膀胱直肠陷窝', '膀胱前壁', '右侧膀胱壁']"
肾,"['两肾盂', '右侧肾下腺内侧肢', '肾下腺', '左侧肾下腺', '肾门', '肾盏', '左肾周', '右肾', '两侧肾盂', '两肾', '左侧肾盂', '肾盂', '两肾下腺', '左肾下极', '肾区', '双侧肾脏', '左肾', '右侧肾下腺', '肾门部血管', '肾脏', '右肾下腺', '左侧肾静脉', '肝肾之间', '左肾盂', '两肾动脉', '右肾盂', '双侧肾下腺', '右肾下极']"
上肢静脉,['右上肢静脉']
