term,overlap_term
腹腔镜上直肠部分切除术,['腹腔镜上直肠部分切除术(姑息性)+乙状结肠造瘘术']
肠切除术,"['全子宫+右附件切除+直肠切除术', '腹腔镜上左半结肠切除术(扩大根治)', '腹腔镜上全结肠切除术', '左半结肠切除术+有附件切除术', '乙状结肠切除术(dixons’术式)', '开腹根治性乙状结肠切除术', '根治性左半结肠切除术', '腹腔镜辅助上姑息性右半结肠切除术', '扩大左半结肠切除术', '胰十二指肠切除术(whipple术)', '腹腔镜探查、左半结肠切除术', '左半结肠切除术', '全麻上剖腹探查、左半结肠切除术', '腹腔镜上扩大根治性左半结肠切除术', '右半结肠切除术', '姑息性左半结肠切除术', '腹腔镜上右半结肠切除术', '腹腔镜上根治性右半结肠切除术', '乙状结肠切除术', '右半结肠切除术术', '“左半结肠切除术+回肠减压”术', '根治性右半结肠切除术', '姑息性乙状结肠切除术', '腹腔镜上乙状结肠切除术', '腹腔镜乙状结肠切除术', '姑息性右半结肠切除术', '部分小肠切除术', '腹腔镜右半结肠切除术+dixon术', '左半结肠切除术+左侧卵巢切除术+盆底结节切除术+腹腔热灌注化疗', '胰十二指肠切除术', '剖腹探查+肠粘连松解+左半结肠切除术', '全结肠切除术+远端直肠息肉电切术', '空肠切除术', '右半结肠切除术+横结肠两腔造瘘术', '腹腔镜左半结肠切除术+tem', '腹腔镜左半结肠切除术', '剖腹探查+肠减压+根治性左半结肠切除术', '腹腔镜上左半结肠切除术', '腹腔镜扩大根治性左半结肠切除术', '姑息性胰十二指肠切除术', '腹腔镜辅助上根治性右半结肠切除术+小肠肿物切除术', '根治性左半结肠切除术+胆总管探查术', '左半结肠切除术+淋巴结清扫术', '左半结肠切除术、胃肠吻合术']"
息肉切除,"['内镜上胃多发息肉切除', '宫腔镜上子宫内膜息肉切除术', '内镜上胃息肉切除术', '胃多发息肉切除术', '内镜上息肉切除', '结肠多发息肉内镜上息肉切除术', '直肠息肉切除术', '肠镜上结肠息肉切除术', '胃镜上氩气刀胃体息肉切除术', '肠息肉切除术', '息肉切除术', '肠镜上息肉切除术', '内镜上息肉切除术', '胃镜上息肉切除', '内镜上直肠息肉切除术', '内镜上多发息肉切除']"
根治性膀胱切除术,['根治性膀胱切除术+回肠原位新膀胱术']
息肉切除术,"['宫腔镜上子宫内膜息肉切除术', '内镜上胃息肉切除术', '胃多发息肉切除术', '结肠多发息肉内镜上息肉切除术', '直肠息肉切除术', '肠镜上结肠息肉切除术', '胃镜上氩气刀胃体息肉切除术', '肠息肉切除术', '肠镜上息肉切除术', '内镜上息肉切除术', '内镜上直肠息肉切除术']"
宫颈冷刀锥切,['宫颈冷刀锥切术']
内镜上切除术,"['肠息肉内镜上切除术', '肠息肉叒内镜上切除术', '食管早期病变内镜上切除术', '早期食管癌(癌前病变)内镜上切除术']"
直肠癌切除术,"['姑息性直肠癌切除术', '腹腔镜上根治性直肠癌切除术+回肠造瘘术', '腹腔镜上姑息性直肠癌切除术(hartmann)+乙状结肠造瘘术']"
上肢动脉pta,"['右侧上肢动脉pta+stent术', '右侧上肢动脉pta+stent+右上肢动脉置管溶栓术']"
腹腔镜左半结肠切除术,['腹腔镜左半结肠切除术+tem']
腹腔镜胃癌根治术,"['腹腔镜胃癌根治术(毕i)', '腹腔镜胃癌根治术中转开腹全胃切除空肠食管roux-eny吻合术+横结肠部分切除术']"
剖腹探查,"['剖腹探查+胃癌根治(d2,r1)+放射性粒子植入术', '剖腹探查术+姑息性降结肠肿瘤切除术+降结远端封闭、近端造口术', '剖腹探查+腹腔粘连松解+肠间脓肿引流+升结肠肿瘤切除+末段小肠造口术', '剖腹探查+乙状结肠肿瘤切除+近端造口、远端封闭+结肠减压', '剖腹探查术+胃空肠吻合术', '剖腹探查+小肠粘连松解术', '剖腹探查术', '剖腹探查+结肠穿孔修补术', '全麻上剖腹探查、左半结肠切除术', '剖腹探查、结肠癌根治术、肠粘连松解术', '剖腹探查+直肠癌根治术(hartmann术)+肠粘连松解术', '剖腹探查+胆肠吻合+胃肠吻合+胆囊切除术', '剖腹探查术、腹盆腔冲洗、回肠造瘘术、腹盆腔置管引流术', '剖腹探查+术中灌肠+dixon+阑尾切除术', '剖腹探查+卵巢癌细胞减灭术(全子宫、两侧附件、大网膜、阑尾、盆腔转移灶、直肠转移灶切除+盆腔淋巴结清扫术)', '剖腹探查、根治性全胃切除术、食管-空肠roux-en-y吻合术', '剖腹探查、左肝肿瘤切除、胆囊切除、左肝结节射频消融术', '剖腹探查+肠粘连松解术+回肠单腔造瘘术', '剖腹探查+肠粘连松解+左半结肠切除术', '剖腹探查术+回肠造瘘术', '剖腹探查+胃空肠吻合+升结肠-横结肠侧侧吻合术', '胆道探查术+t管引流术+胆道镜取石术+腹腔粘连松解术+剖腹探查术', '剖腹探查+乙状结肠肿瘤根治术+放射性粒子置入', '剖腹探查+胃窦肿物活检术+胃空肠吻合术', '剖腹探查+肠减压+根治性左半结肠切除术', '剖腹探查+肠粘连松解+扩大左半结肠切除+肠外置术', '剖腹探查+全子宫两附件切除+大网膜切除+阑尾切除+放射性粒子置入术', '输尿管d-j管置入+剖腹探查+肠粘连分解+盆腔包块切除+放射性粒子置入术', '剖腹探查+左半结肠切除+肠粘连松解术']"
胃大部切除术,"['腹腔镜辅助上根治性远端胃大部切除术(毕ii式,d2)', '腹腔镜上根治性远端胃大部切除术(d2,roux-en-y吻合)', '根治性远端胃大部切除术(毕ii式,d2)', '远端胃大部切除术(b-ii式)', '腹腔镜上根治性远端胃大部切除术', '行腹腔镜上远端胃大部切除术+放射性粒子植入', '腹腔镜辅助上根治性远端胃大部切除术', '腹腔镜辅助上根治性远端胃大部切除术(d2)', '腹腔镜根治性远端胃大部切除术(毕i式d2r0)', '全腹腔镜上根治性远端胃大部切除术+直肠癌根治术', '根治性远端胃大部切除术', '根治性全胃大部切除术', '姑息性胃大部切除术+毕ii式吻合']"
腹腔镜上左半结肠切除术,['腹腔镜上左半结肠切除术(扩大根治)']
胃造瘘术,['内镜上胃造瘘术']
根治性远端胃大部切除,"['腹腔镜辅助上根治性远端胃大部切除术(毕ii式,d2)', '腹腔镜上根治性远端胃大部切除术(d2,roux-en-y吻合)', '根治性远端胃大部切除术(毕ii式,d2)', '腹腔镜上根治性远端胃大部切除术', '腹腔镜辅助上根治性远端胃大部切除+残胃空肠roux-y吻合术(d2)', '腹腔镜辅助上根治性远端胃大部切除术', '腹腔镜辅助上根治性远端胃大部切除术(d2)', '腹腔镜根治性远端胃大部切除术(毕i式d2r0)', '腹腔镜辅助上根治性远端胃大部切除+残胃空肠roux-y吻合术(d2)+阑尾切除术', '全腹腔镜上根治性远端胃大部切除术+直肠癌根治术', '根治性远端胃大部切除术', '根治性远端胃大部切除、毕ii式吻合术', '根治性远端胃大部切除+毕i式吻合术']"
乙状结肠癌根治术,"['腹腔镜上腹腔探查术+中转开腹+术中冰冻活检+乙状结肠癌根治术+小肠部分切除术、肠吻合术', '腹腔镜辅助上乙状结肠癌根治术', '腹腔镜上乙状结肠癌根治术']"
内镜上息肉切除术,['结肠多发息肉内镜上息肉切除术']
横结肠造口术,['空回肠侧侧吻合+横结肠造口术']
胃癌d2根治术,['远端胃癌d2根治术(毕i式)']
直肠癌低位前切除术,['直肠癌低位前切除术+预防性回肠造瘘术']
肝肿瘤微波消融,['肝肿瘤微波消融术']
肝肿瘤切除+胆囊切除术,['左肝肿瘤切除+胆囊切除术']
远端胃癌根治术,['腹腔镜辅助远端胃癌根治术']
胆囊切除+胆总管切开取石+t管引流术,['腹腔镜胆囊切除+胆总管切开取石+t管引流术']
两侧卵巢切除术,"['腹腔镜上两侧卵巢切除术', '宫颈癌根治术+两侧卵巢切除术']"
