term,frequency
"进展期胃癌,隆起型,高-中分化管状腺癌",1
回盲部术后,1
胆总管中段狭窄,1
(右腋窝)淋巴结内转移性鳞状细胞癌,1
(左卵巢)高级别浆液性腺癌,1
卵巢高级别浆液性腺癌iiia1(ii)期,1
升结肠癌术后,1
"中分化腺癌。,分期为:pt3n1m1",1
结肠癌并肝内多发转移,1
阴道残端复发,1
肝左叶转移瘤,1
左附件转移,1
双侧胸腔积液,1
直肠蕈样型中分化管状腺癌,1
右侧腹股沟疝,1
左上肢深静脉血栓,1
两侧胸腔大量积液,1
左肺中央型肺腺癌叒iv期叒纵膈、颈部淋巴结及脑转移,1
左侧淋巴结转移性腺癌,1
"左肺中央型肺ca,伴左肺下叶阻塞性肺不张,纵隔内及降主动脉动脉旁多发淋巴结转移,左肺上叶动脉内癌栓",1
胃窦部溃疡型低分化腺癌,1
乙状结肠溃疡型高中分化腺癌伴粘液分泌,1
阑尾炎,1
胆管中段狭窄,1
胆总管中分化腺癌,1
神经痛,1
弥漫大b细胞淋巴瘤回盲部切除术后,1
乙状结肠穿孔,1
"胃癌,右锁下,隆突上,胃小弯侧,膈脚后,食管旁,腹主动脉旁广泛淋巴结转移",1
"弥漫大b细胞淋巴瘤,非gcb亚型",1
左肾母细胞瘤叒iiib期,1
肾母细胞瘤,1
"(左侧)肾脏伴左两相分化的恶性肿瘤,考虑肾母细胞瘤",1
肾出血,1
左肾肿瘤,1
胃癌并右锁骨下、纵膈、腹腔淋巴结转移,1
低分化管状腺癌,1
子宫内膜高分化内膜样腺癌iiia期,1
宫内孕不全流产,1
两侧卵巢子宫内膜样腺癌,1
高分化子宫内膜样癌,1
高分化内膜样腺癌,1
"(胃)低分化粘液腺癌,溃疡型",1
乙状结肠癌(pt3n1m0),1
两肺多发转移,1
右肺m,1
直肠癌同时性右肺两发m,1
腹腔肿物:左侧卵巢癌,1
"肝转移,两上肺转移瘤",1
壶腹癌whipple叒术后,1
"壶腹部中分化腺癌,部分为粘液腺癌,,分期为:t3n1m0",1
直肠(切除)浸润性中分化腺癌,1
肝s8叒囊肿,1
十二指肠降部smt,1
海绵状血管瘤,1
混合性肝细胞和胆管细胞癌(中-低分化),1
腹腔播散转移,1
腰肌转移,1
"中低分化腺癌伴印戒细胞癌,混合型",1
全胃低分化腺癌,1
绒毛状腺瘤,1
"(升结肠)管状腺瘤,i级",1
c7-t2骨转移,1
溃疡中分化腺癌,1
"直肠上段癌,ct3n2m0",1
胃体小弯侧溃疡型低分化腺癌,1
右锁骨下lnm,1
胃窦部腺癌伴腹腔lnm,1
右卵巢多房性囊肿,1
(左附件)卵巢腺癌,1
结肠癌姑息切除术后,1
"降结肠癌伴肝转移(pt3n2bm1,iv期pmmr,ras野生型)",1
"egj中低分化腺癌伴印戒细胞癌,混合型",1
胆肠肠吻合口处梗阻,1
(降结肠大体)中至低分化腺癌,1
贲门低分化腺癌,1
粘液性乳头状囊腺癌,1
慢性浅表性胃炎,1
剖宫产术后,1
直肠、乙状结肠息肉,1
右侧乳突炎,1
扁桃体癌,1
左侧扁桃体占位,1
(左侧口口咽部)非角化型鳞状细胞癌,1
轻度慢性萎缩性胃炎,1
"(胃)低分化腺癌,(淋巴结)淋巴结转移癌",1
低分化癌转移,1
肛管恶性肿瘤,1
(肛管)符合派杰氏病(paget's病),1
直肠梭形细胞肿瘤,1
结节型原发性肝癌,1
肝内多发囊肿,1
左肺门纵隔及锁骨下淋巴结转移,1
左下肺癌,1
(隆突上淋巴结)可见低分化癌转移,1
pnet,1
浆液性乳头状腺癌,1
头颈部肿瘤,1
壶腹周围癌,1
"进展期直肠癌,粘液腺瘤及中分化管状腺癌",1
梭形细胞恶性肿瘤(g2级),1
(宫颈3、6、9点)hsil,1
宫颈中至低分化鳞状细胞癌,1
食管ca,1
下纵隔(食管)肿瘤,1
"胃低分化腺癌,大部分为印戒细胞癌",1
"胃未分化癌,部分低分化癌",1
降结肠中分化腺癌,1
降结肠腺癌,1
"盲肠中至低分化腺癌,术后分期为叒pt4bn0m1b,ivb期",1
卵巢浆液性腺癌,1
左卵巢中分化浆液性腺癌,1
两侧卵巢中分化浆液性乳头状腺癌,1
两卵巢腺癌iib期,1
胃癌并肝转移,1
"(胃)中低分化腺癌,溃疡型",1
胃ca治疗后,1
右肾多发囊肿,1
腹腔及盆腔积液,1
神经性头痛,1
(宫颈12点)中分化鳞状细胞癌,1
网膜浆液性腺癌,1
胃窦溃疡溃疡型中分化腺癌,1
结肠造口术后,1
"(全子宫+左附件)左卵巢浆液乳头状腺癌,分化ii级",1
直肠~结肠癌,1
胃体小弯溃疡,1
甲状腺功能低上ii度,1
直肠神经内分泌肿瘤,1
神经内分泌肿瘤转移,1
结肠黑变病,1
肝脏原发性巨块型中分化肝细胞癌,1
胰头占位wipple术后,1
(食管中段)低分化鳞癌,1
乙状结肠mt肝转移,1
"肝细胞肝癌,分化ii级",1
鼻咽癌治疗后,1
肝左叶mt治疗后,1
直肠癌多发转移化疗后,1
直肠癌肝转移术后化疗后,1
左上肺不张合并感染,1
左胸腔积液,1
肝s8肿瘤,1
肝s2肿瘤中分化腺癌,1
混合性下皮肿瘤(低恶性),1
食道中段mt,1
低分化鳞形细胞癌,1
"进展期直肠癌:浸润溃疡型,中分化管状腺癌",1
转移性子宫浆液性癌,1
腹腔、盆腔积液,1
子宫内膜浆液性癌,1
子宫内膜混合性癌,1
乳头状鳞状细胞癌,1
"升结肠腺癌腹腔多发种植,伴不完全肠梗阻",1
直肠上段中分化腺癌,1
食管中分化鳞状细胞癌,1
肝s3转移瘤,1
结肠腺癌(中分化),1
前列腺腺癌,1
结肠锯齿状腺瘤,1
右输卵管输卵管浆液性腺癌iiic期,1
浆液性癌,1
肝s3转移,1
肝s2囊肿,1
(宫颈)恶性肿瘤,1
食管中段腺癌,1
淋巴结转移性低分化腺癌,1
弥漫大b细胞性淋巴瘤,1
良性前列腺增生,1
"胸12椎体,骶骨转移",1
食管mt,1
"(降结肠)中分化绒毛状管状腺癌,伴部分粘液腺癌及部分印戒细胞癌",1
小肠穿孔,1
肝右叶萎缩,1
颈部、纵隔、淋巴结转移,1
"进展期直肠癌,溃疡浸润型,中分化腺癌,ii级",1
肝部分切除术后,1
肝脏低分化大细胞神经内分泌癌(g3),1
肝s5部分恶性肿瘤,1
左肝占位,1
两侧卵巢肿瘤,1
结肠癌肝脏转移,1
胸下段食管鳞癌,1
左肾小囊肿,1
结肠ca,1
中分化腺癌伴黏液腺癌,1
非萎缩性胃炎并胆汁反流,1
肝细胞肝癌,1
"肝门区,胃右动脉旁淋巴结转移",1
升结肠占位,1
食管癌放化疗后复发,1
腹水,1
胃体、胃窦多发溃疡,1
多发骨转移,1
手足综合征,1
小肠及直肠术后,1
壶腹癌,1
左肺中叶局限性肺不张,1
胃癌伴腹腔多发转移,1
胃全切除术后,1
胃体溃疡型管状腺癌2-3级,1
贲门溃疡,1
贲门炎(重度),1
骨、肝转移,1
左乳腺癌术后,1
小肠隆起型高中分化腺癌,1
中至低分化肝细胞癌(梁索型),1
回盲部升结肠腺瘤,1
肠系膜种植转移,1
卵巢粘液腺癌,1
结肠溃疡型粘液腺癌,1
管状腺瘤1-2级,1
小肠、结肠梗阻,1
近端结肠梗阻,1
乙状结肠:隆起型中分化腺癌,1
(全喉)低分化鳞形细胞癌,1
乙状结肠绒毛状腺瘤(ii级),1
幽门型粘膜慢性萎缩性炎伴轻度肠化,1
肝内外胆管、胰管扩张,1
内膜异位症,1
隆起型中分化腺癌,1
腰椎及骨盆骨转移,1
十二指肠球部多发浅溃疡,1
左乳癌,1
肝左叶多发转移,1
net叒g3,1
右乳癌,1
痔疮,1
两侧附件浆液性乳头状腺癌ii-iii级,1
直肠癌ct3n2mx,1
卵巢浆液性乳头状腺癌,1
直肠癌(t3n2),1
胰腺中分化腺癌伴粘液腺癌,1
食管胃底静脉曲张,1
两肺多发占位,1
肠腺癌转移,1
右卵巢中分化子宫内膜样腺癌,1
子宫中分化子宫内膜样腺癌,1
"进展期左半结肠癌,浸润溃疡性,低-中分化腺癌",1
食管中段早癌、贲门癌,1
食管上段恶性肿瘤,1
盆腔囊性占位,1
"乙状结肠肿物,恶性待排",1
肝脏原发性中分化肝细胞-胆管细胞混合型癌,1
左半结肠切除术后,1
子宫内膜样腺鳞癌ii级伴鳞状生化,1
"胃窦溃疡型管状腺癌ii-iii级,少部分为低粘附性癌(主要为印戒细胞癌)",1
(食管及胃底)食管多中心性蕈伞型鳞状细胞癌ii级,1
(胃)低分化腺癌,1
(全胃)平坦型低分化腺癌,1
肠中分化腺癌,1
结肠隆起型黏液腺癌,1
(左半结肠)结肠隆起型高中分化腺癌,1
下腹痛,1
乙型病毒性肝炎,1
肝脏囊肿,1
肝mt术后,1
"肝细胞肝癌,iii级",1
肝左叶巨块型mt,1
结肠癌并腹腔淋巴结转移,1
乙状结肠高分化腺癌,1
直肠隆起型管状腺癌,1
直肠管状-绒毛状腺癌术后,1
大肠隆起型管状-绒毛状腺癌ii级,1
左半肝肝脏原发性巨块型中分化肝癌,1
结肠肝曲管状腺癌术后,1
胃贲门管状腺癌(pt4an2m0iiib期),1
升结肠肠乳头状管状腺癌ii级,1
食管上段鳞癌术后,1
左半结肠回盲部隆起型管状腺癌ii级,1
"(食管),:食管溃疡型鳞状细胞癌ii级",1
食管胃交界区癌术后,1
"(食管上段+全胃),:食管胃交界浸润型管状腺癌ii级",1
食管胃交界区癌,1
(大网膜)纤维脂肪组织内浸润的低分化腺癌,1
粘膜慢性炎,1
阑尾粘膜慢性炎,1
(结肠大体)镜检为中分化腺癌,1
腹膜外肿瘤,1
(两侧卵巢)高级别浆液性乳头状癌,1
腹水原因待查,1
肝转移术后,1
胰腺实性假乳头状瘤,1
(肝结节)肝转移性胰腺实性-假乳头状瘤,1
(胰头肿物)胰腺实性-假乳头状瘤,1
肝转移胰腺实性-假乳头状瘤,1
粘膜腺癌,1
糜烂性胃炎(ii级),1
(直肠)印戒细胞癌,1
(两附件区)卵巢高级别浆液性乳头状癌,1
高级别浆液性乳头状癌,1
小肠淋巴瘤,1
左上腹回-回肠套叠,1
大肠溃疡型管状腺癌ii-iii级,1
结肠肝曲管状腺癌,1
"胃体小弯侧溃疡型低分化腺癌(lauren,分型:弥漫型)",1
根治性全胃切除术后,1
大肠溃疡型乳头状-管状腺癌ii级,1
乙状结肠ca(浸润型),1
盲肠癌术后,1
结肠溃疡型管状腺癌ii级,1
(宫颈)中低分化鳞状细胞癌,1
降结肠中分化管状腺癌,1
"(乙状结肠)腺癌(中度分化,部分为粘液腺癌图像),符合绒毛状管状腺瘤癌变",1
"胃中至低分化腺癌,lauren",1
胃窦前壁腺癌(低分化)粘液性印戒,1
回盲部癌术后,1
肠浸润性管状腺癌ii级,1
回盲部癌,1
乙状结肠癌、卵巢转移,1
左半结肠中分化管状腺癌,1
小肠梗阻,1
结肠ca伴卵巢转移术后,1
网膜及系膜多发肿瘤转移,1
左卵巢腺癌,1
卵巢转移,1
左肾积水,1
胃小弯弥漫浸润性低分化腺癌,1
肾积水,1
(右半结肠)大肠隆起型管状腺癌ii级,1
高级别浆液性腺癌,1
中见低分化腺癌,1
卵巢低分化腺癌iiic期,1
溃疡性鳞状细胞癌i-ii级,1
高级别浆液性癌,1
卵巢恶性肿瘤,1
胃底贲门恶性肿瘤,1
直肠carcinoma,1
状下皮高级别下皮内瘤变,1
(子宫)低分化鳞状细胞癌,1
宫颈癌iai,1
中肾管癌,1
溃疡性腺癌,1
浸润型鳞状细胞癌i-ii级,1
胸段食管多中心鳞状下皮癌,1
乳头状粘连性肿瘤伴下皮重度不典型增生,1
肠外生型管状腺癌ii级,1
乙状结肠浸润性管状腺癌i-ii级,1
肠绒毛状-管状腺瘤,1
(直肠)腺癌(中度分化),1
食管胃交界处溃疡型中-低分化腺癌,1
肠粘连,1
胃体腺癌(低分化),1
子宫内膜样腺癌(中-低分化),1
食管中段癌,1
胰十二指肠切除术后,1
"(食管及胃底),:食管隆起型鳞状细胞癌ii级",1
乙状结肠低分化腺癌,1
左肾囊肿伴囊壁钙化,1
左侧结肠癌,1
子宫内膜腺癌ia期术后,1
"宫体混合型腺癌(80%为ii型透明细胞腺癌,20%为i型子宫内膜样腺癌)",1
子宫内膜混合型腺癌,1
右乳腺浸润性导管癌,1
:左半结肠)溃疡型中分化腺癌,1
结肠腺癌,1
"左半结肠腺癌(中度分化),浸润溃疡型",1
结肠癌并肺转移,1
乙状结肠粘液性腺癌(中分化),1
乙状结肠肿瘤,1
胃窦癌(pt4an3bm0iiic期)术后,1
"(远端胃),:胃窦溃疡型黏液腺癌",1
(食管胃交界腺癌化疗后)食管及胃交界部低分化腺癌,1
小肠造漏术后,1
直肠吻合口漏,1
横结肠癌术后,1
"(结肠),:大肠隆起型管状腺癌ii级",1
胰腺粘液性囊腺癌,1
胰腺囊腺癌,1
直乙交界处结肠癌术后,1
(直肠)大肠隆起型管状腺癌ii级,1
直乙交界处结肠癌,1
食管下段癌术后,1
食管中段鳞状细胞癌,1
(胃壁)间质瘤,1
阑尾及小肠粘膜慢性炎,1
(胃窦体)胃浸润型低分化腺癌,1
肠穿孔,1
直肠中-高分化腺癌,1
"(直肠),:肠隆起型中分化管状腺癌",1
"(结肠)腺癌(中度分化),浸润溃疡型",1
(直肠)溃疡型中分化管状乳头状腺癌,1
"(直肠),:直肠溃疡型黏液腺癌",1
"胃窦癌(pt3n3m0,iiib期)",1
胃中至低分化腺癌(lauren分型为混合型),1
乙状结肠中分化腺癌术后ypt0n1m0叒iiia期,1
肠粘膜慢性炎,1
胃体小弯溃疡型低分化腺癌,1
乙状结肠隆起型中分化腺癌,1
"(远端胃),:胃体小弯溃疡型低粘附性癌",1
右肝内肝内胆管癌术后,1
"(右半肝),:肝中分化胆管细胞癌",1
右肝内肝内胆管癌,1
(全胃)胃-食管交界溃疡型腺神经内分泌癌(g3),1
"(结肠)溃疡型腺癌,分化ii级",1
肺部转移,1
升结肠癌伴腹腔种植(pt4bn2am1iv期)术后,1
"(左半结肠),:结肠溃疡型管状腺癌ii级",1
"(远端胃),:胃窦隆起型粘液腺癌",1
胃癌、胃空肠吻合术后,1
吻合口狭窄,1
轻度慢性浅表性胃炎,1
(腹段食管及近端胃)食管蕈伞型鳞状细胞癌ii-iii级,1
食管腹段癌,1
"(右半结肠+部分胃壁),:结肠溃疡型中分化腺癌",1
"(远端胃大部),:胃体小弯浸润型印戒细胞癌",1
直肠中等分化腺癌,1
"中-低分化腺癌,lauren",1
直肠癌根治术后,1
"(直肠下段),:肠溃疡型管状腺癌ii级",1
肝肾功能损害,1
"(直乙交界),:大肠溃疡型管状腺癌ii级",1
"(乙状结肠),:大肠溃疡型管状腺癌ii级",1
恶性肿瘤术后化疗,1
左卵巢黄体囊肿,1
肠壁转移瘤,1
(右附件)高级别浆液性乳头状癌,1
结肠全切除术后,1
结肠多发绒毛状管状腺瘤,1
"(乙状结肠)粘液腺癌,浸润溃疡型",1
"卵巢子宫内膜样腺癌(ii期,i级)术后",1
卵巢子宫内膜样腺癌i级,1
胃窦部低分化腺癌,1
胃中至低分化腺癌,1
"胃窦癌(pt4an3bm1,iv期)",1
"胃食管结合部腺癌ii型,pt3n3am0,iiib期",1
"进展期乙状结肠癌,溃疡浸润型,中分化腺癌",1
中度慢性浅表性胃炎,1
"(胃大体)镜检为胃中至低分化腺癌,lauren",1
(全子宫+两附件)子宫颈内生浸润型中分化粘液腺癌(宫颈管亚型),1
(横结肠)腺癌(中度分化),1
食管胃交界处溃疡型低分化腺癌,1
升结肠中-低分化腺癌术后叒pt3n1m0iiib期,1
结肠中至低分化腺癌,1
升结肠恶性肿瘤术后,1
回盲部腺癌(中、低度分化),1
贲门腺癌ii级,1
胸腔感染,1
浸润性高分化鳞状细胞癌,1
食管胸中段癌,1
"(直肠),:直肠溃疡型管状腺癌ii级",1
食管髓质型鳞状细胞癌ii级,1
i度骨髓抑制,1
食管髓质型鳞状细胞癌iiia期(pt3n1m0),1
胃术后,1
"胃窦小弯侧低分化腺癌,溃疡型",1
"根治性胃大部切除,毕i式吻合",1
胃窦小弯侧低分化腺癌,1
肠溃疡型中分化腺癌,1
腹膜炎,1
胃低分化腺癌术后,1
"(全胃),:胃体小弯溃疡型低粘附性癌(低分化腺癌)",1
"宫颈腺癌(ib1期,ii级)术后",1
(降结肠)大肠管状腺癌ii级,1
"低分化腺癌,部分为印戒细胞癌",1
食管占位,1
前列腺癌gleanson分级iii级,1
胃窦多发息肉(i型),1
(胃体)高级别下皮内瘤变(重度异型增生及原位癌),1
胃贲门癌术后,1
胃窦部腺癌(中、低度分化),1
胃体癌伴腹腔种植转移,1
胃体癌慢性萎缩性胃炎,1
胃ca侵出浆膜层并网膜种植转移,1
食管中上段鳞癌,1
胃角溃疡(s2期),1
食管鳞状细胞癌ii级,1
食管上段贲门ca,1
胃癌术后肝转移,1
两肾小结石或钙化,1
"中至低分化腺癌,部分为粘液腺癌(lauren,分型:混合型)",1
升结肠癌术后化疗,1
肝曲结肠粘液腺癌侵犯十二指肠及肝门区,1
胃窦癌伴胃潴留,1
胃低粘附性癌,1
胃窦浸润型管状腺癌ii-iii级,1
胃窦癌伴出血伴肝脏、胰腺受侵,1
部分管状腺癌,1
部分肉瘤样癌,1
神经内分泌癌,1
"非霍奇金淋巴瘤,,弥漫大b细胞型",1
"前列腺增生症,伴pini级",1
结肠腺癌并肝多发转移,1
结肠肿瘤,1
结肠癌肝转移术后,1
降结肠肿瘤,1
"胃粘液腺癌,lauren,分型:肠型",1
食管癌(t3n2m0iiib期),1
食管髓质型高分化鳞状细胞癌,1
食管下段癌,1
(右卵巢)中-低分化宫内膜样腺癌伴腹膜转移,1
肠低分化腺癌(印戒细胞癌),1
食管胃交界腺癌术后,1
"食管-胃交界处溃疡型混合型腺神经内分泌癌[腺癌为管状腺癌ii-iii级,神经内分泌肿瘤为g3型(神经内分泌癌)]",1
食管胃交界腺癌,1
高至中分化鳞状细胞癌,1
胸中段段食管中-低分化鳞癌,1
"胃窦癌:borrmann3型叒浸润深度(se)叒浸润溃疡型,低-中分化腺癌",1
肠瘘,1
卵巢浆液性腺癌iiic期,1
低分化浆液性腺癌,1
两侧卵巢见低分化浆液性腺癌浸润,1
(两侧附件)高级别浆液性乳头状癌,1
"溃疡型低分化腺癌,伴印戒细胞癌,lauren,分型:弥漫型",1
右半结肠癌术后,1
肠系膜及网膜癌转移,1
右半结肠粘液性腺癌(中分化),1
"(远端胃)下皮性恶性肿瘤,部分区为神经内分泌癌(g3,约占肿瘤体积40%);部分为肉瘤样癌(约占肿瘤体积40%);部分为管状腺癌,分化ii级(lauren分型肠型,约占肿瘤组织20%)",1
左肾小结石,1
肝左后叶上段及两肾囊肿,1
胃窦部mt伴胃周淋巴结转移,1
宫体肌间平滑肌瘤,1
宫颈浸润型鳞状细胞癌ii级,1
胃角溃疡型粘液腺癌(pt4an2m0iiib期)术后,1
"胃角溃疡型粘液腺癌,部分为印戒细胞癌",1
子宫内膜病变术后,1
慢性子宫颈炎,1
"子宫内膜复杂性增生,部分腺体呈高级别下皮内瘤变,部分区域为高分化子宫内膜样腺癌",1
子宫内膜复杂性增生,1
"直肠隆起型中分化管状腺癌,小灶区为黏液腺癌",1
壶腹部鳞状细胞癌(低度分化),1
胃体胃窦癌叒pt4an3am0叒iiic期,1
胃体胃窦癌,1
食管癌伴纵隔淋巴结转移,1
食管憩室,1
"食管癌,伴右侧锁骨下窝、食管旁沟及纵膈内多发淋巴结转移",1
"鳞状下皮呈乳头状增生,部分鳞状下皮呈低级别下皮内瘤变",1
胃窦术后化疗,1
"胃体及胃窦小弯侧早期隆起型(0-i型)低黏附性癌,印戒细胞癌为主,部分为低分化腺癌及未分化癌",1
胃肿瘤,1
"(远端胃)胃体小弯早期(iic型)低分化腺癌,部分为印戒细胞癌",1
结肠腺管状腺瘤,1
"结肠腺癌(中度分化),溃疡型",1
"胃底、体小弯侧低分化腺癌,部分为印戒细胞癌图像,蕈伞型",1
"宫颈鳞癌(ib1期,ii级)术后",1
"胃体胃窦癌(ct4n2m0,iiib期)",1
"胃中至低分化管状腺癌(lauren,分型:肠型)",1
食管炎(a级),1
皮疹,1
胃体大弯侧溃疡型低分化腺癌,1
回盲部淋巴瘤术后,1
(左半结肠)大肠回盲部结外粘膜相关淋巴组织边缘区b细胞淋巴瘤(malt),1
胃肠息肉,1
腺下皮低级别下皮内瘤变(中度不典型增生),1
(横结肠)肠管状腺瘤,1
腺下皮低级别下皮内瘤变,1
(肝曲)肠管状腺瘤,1
十二指肠球部溃疡(s2期),1
"结肠腺癌(中低分化),浸润溃疡型",1
胃体中下部溃疡,1
结肠恶性肿瘤,1
(十二指肠肿物)梭形细胞肿瘤,1
腺鳞癌,1
宫颈鳞癌iib期,1
浸润性低分化鳞状细胞癌,1
卵巢浆液性乳头状腺癌iiic期,1
(左卵巢)中-低分化浆液性乳头状腺癌,1
"胃窦溃疡型低黏附性癌(印戒细胞癌为主,部分为未分化癌及黏液腺癌)",1
胃癌术后脑转移叒rtxnxm1叒iv期,1
胃癌术后多发脑转移,1
"结肠腺癌(中-低度分化),浸润溃疡型",1
"中-低分化腺癌,部分为印戒细胞癌,lauren,分型:混合型",1
"胃窦大弯侧腺癌(中度分化),浸润溃疡型",1
低分化腺鳞癌,1
结肠炎性息肉,1
结肠腺癌(中度分化),1
浆液性乳头状囊腺癌,1
(右附件)卵巢浆液性乳头状囊腺癌,1
直肠癌(miles)术后,1
"直肠癌术后,回肠造瘘术后",1
直肠溃疡型管状腺癌ii级,1
乙状结肠癌术后伴肝、肺骨多发转移,1
肝、肺、骨多发转移,1
升结肠肿瘤根治术后,1
左半结肠溃疡型中分化管状乳头状腺癌,1
"胃体小弯侧浸润型管状腺癌ii-iii级,部分为粘液腺癌和低粘附性癌",1
"胃角溃疡型低黏附性癌(低分化腺癌,部分为印戒细胞癌)",1
术后肠梗阻,1
(左半结肠)中低分化腺癌,1
(胃窦)溃疡型低分化腺癌,1
左半结肠癌术后,1
(升结肠)粘液性腺癌,1
左半结肠肿瘤,1
胃体、胃窦低分化腺癌,1
(胃角、胃体后壁)低分化腺癌,1
宫颈癌iia2期,1
食管胃交界溃疡型管状腺癌ii,1
造口旁疝,1
回盲部肿瘤,1
回盲部浸润型粘液腺癌,1
"中至低分化腺癌,lauren",1
胃窦腺癌(中低度分化),1
(胃窦、幽门)腺癌,1
胃癌伴幽门梗阻,1
不除外骶管囊肿,1
骶1-3水平椎管局限性膨大,1
腰4/5水平双侧隐窝狭窄,1
腰2/3、3/4、4/5椎间盘突出,1
腰椎退行性变,1
腰1压缩性骨折,1
乙状结肠造瘘术后,1
残胃低分化腺癌,1
回盲部腺癌术后,1
胆囊炎、胆囊结石,1
直肠癌:隆起型叒中分化管状腺癌,1
直肠癌伴肺转移,1
直肠癌伴两肺多发转移瘤,1
胃角癌术后,1
胃角溃疡型管状腺癌ii级,1
胃角癌,1
粘连性小肠梗阻,1
(残胃)胃近贲门处溃疡型管状腺癌ii-iii级,1
(乙状结肠)腺癌(中、低度分化),1
贲门溃疡型胃癌,1
宫颈低分化癌,1
"直肠癌(浆膜上层),扁平隆起型,高分化腺癌,i级",1
乙状结肠癌叒右肾下腺转移,1
残胃癌综合治疗后,1
i°骨髓抑制,1
"中至低分化腺癌(lauren,分型:肠型)",1
子宫肌间多发性平滑肌瘤,1
宫颈内生浸润性鳞状细胞癌ii级,1
"卵巢浆液性乳头状囊腺癌(iiib期,g1)术后",1
骨髓抑制i度,1
左卵巢高级别浆液性乳头状囊腺癌,1
卵巢浆液性乳头状囊腺癌,1
胃窦小弯腺癌(中度分化),1
乙状结肠癌术后伴肝、骨、肺多发转移,1
"(右)乳腺浸润性导管癌,ii级",1
直肠溃疡型中分化管状腺癌,1
胃管状腺癌术后(pt4an1m0iiia期),1
胃体前壁及胃窦溃疡型管状腺癌ii-iii级,1
"直肠腺癌(中、低度分化),部分呈粘液腺癌分化,隆起型",1
胃窦小弯侧溃疡型管状腺癌ii-iii级,1
腺癌pt1n0m0,1
多发性增生性(锯齿状)息肉,1
"(直肠)腺癌(中、低度分化,局部伴神经内分泌分化;部分为粘液腺癌,约占30%),叒隆起型",1
直肠癌术后吻合口瘘,1
食管胃交界溃疡型低分化腺癌,1
胃体小弯腺癌(中度分化),1
直肠腺癌(pt2n0m0),1
小肠癌,1
溃疡型乳头状-管状腺癌ii级,1
十二指肠乳头部浸润型管状腺癌ii-iii级,1
炎性增生性息肉,1
"直肠腺癌(中低度分化),部分呈粘液腺癌图像,浸润溃疡型",1
肾囊肿,1
"胃体胃窦交界前壁早期(0-i型)管状腺癌ii级,部分为黏液腺癌",1
胃体-胃窦溃疡型管状腺癌ii级,1
"直肠管状粘液腺癌(低分化),浸润溃疡型",1
胃窦小弯侧溃疡型中-低分化腺癌,1
骨髓抑制ii度,1
恶性苗勒氏管混合瘤,1
十二指肠癌术后,1
卵巢浆液性乳头状腺癌iiic期术后,1
小肠管状腺癌(pt4an0m0iib期)术后,1
左卵巢浆液性乳头状腺癌,1
右卵巢粘液性囊腺癌ia期术后,1
粘液性囊腺癌,1
卵巢恶性下皮性肿瘤,1
胃隆起型高分化腺癌,1
胃窦溃疡型隆起性病变,1
"腺癌(中度分化),浸润型",1
"食管胃交界溃疡型管状腺癌iii级,伴神经内分泌分化",1
贲门-胃体癌,1
"直肠腺癌(中、低度分化),隆起型",1
肝s4、8转移瘤,1
胃体管状腺癌,1
"(全胃),:胃体溃疡型管状腺癌(ii-iii级)",1
胃病,1
食管吻合口狭窄,1
腹腔淋巴结转移,1
胃角低级别绒毛状管状腺瘤,1
"直肠腺癌(中低度分化),浸润溃疡型",1
直肠癌左上肺转移,1
炎症性病变,1
直肠粘膜慢性炎,1
胃窦部巨大溃疡性病变,1
"肝ss3段结节状高代谢,考虑转移灶",1
"肝左叶多发环形强化结节病灶,考虑转移瘤",1
胆总管癌并两肺转移,1
右肾下腺结节,1
频发室早,1
频发多源性房早,1
两肺上叶感染,1
右室舒张、收缩功能减退,1
重度混合性通气功能障碍以阻塞为主(fev1/fvc叒38.28%),1
慢支炎、支气管哮喘,1
吞咽哽噎原因待查,1
两肾结石,1
轻度食管静脉曲张,1
急性呼吸衰竭,1
加速的室性逸搏,1
食管癌术后(pt3n0m0ii期),1
肝曲结肠癌,1
两上肢动脉硬化伴粥样斑点,1
lynch综合征,1
胃窦溃疡(h1期),1
肝内胆管结石伴慢性炎症,1
mods,1
ards,1
消化道溃疡,1
"肠管状腺瘤,伴低级别下皮内瘤变",1
阴道壁鳞状下皮vainii-iii级,1
宫颈及宫颈管鳞状下皮高级别下皮内瘤变,1
鳞状下皮高级别下皮内瘤变(vainii级),1
"宫颈及宫颈管部分鳞状下皮高级别下皮内瘤变(ciniii级,",1
非典型鳞状下皮细胞,1
食管乳头状瘤,1
肝移植术后,1
桥本式甲状腺炎,1
胃部息肉,1
贲门肿物,1
直肠癌术后化疗,1
急性肾损伤,1
呼吸道感染,1
乙状结肠癌肝转移,1
淋巴结8/17见转移,1
直肠癌伴肝脏多发转移,1
胃体后壁溃疡型低分化腺癌伴印戒细胞癌,1
室性早搏(两源),1
偶发房性早搏,1
四支血管病变,1
压疮,1
左肺中叶外侧段及两肺上叶少许炎症,1
贲门肿瘤可能,1
2型呼吸衰竭,1
慢性阻塞性肺病急性加重,1
两肺广发感染,1
右房肥大,1
左室肥大,1
不完全性左束支传导阻滞,1
颈动脉粥样硬化,1
左肾结石,1
胆囊肿大,1
两侧筛窦炎,1
右侧下颌窦炎症或息肉,1
右侧顶叶软化灶,1
右侧颞、枕叶慢性脑梗死,1
两侧基底节区及侧脑室体旁腔隙性脑梗死,1
颈动脉多发硬化性斑块形成,1
